datetime,commission,exec_id,last_price,last_quantity,order_book_id,order_id,position_effect,side,symbol,tax,trading_datetime,transaction_cost
2016-02-04 15:00:00,83.580336,1492237712,8.706,12000,000001.XSHE,1492237698,,BUY,平安银行,0.0,2016-02-04 15:00:00,83.580336
2016-04-08 15:00:00,80.330784,1492237713,8.368,12000,000001.XSHE,1492237699,,SELL,平安银行,100.41348,2016-04-08 15:00:00,180.744264
2016-04-11 15:00:00,80.2916016,1492237714,9.38,10700,000001.XSHE,1492237700,,BUY,平安银行,0.0,2016-04-11 15:00:00,80.2916016
2016-04-12 15:00:00,72.3073044,1492237715,8.447,10700,000001.XSHE,1492237701,,SELL,平安银行,90.3841305,2016-04-12 15:00:00,162.6914349
2016-04-13 15:00:00,71.1295368,1492237716,9.459,9400,000001.XSHE,1492237702,,BUY,平安银行,0.0,2016-04-13 15:00:00,71.1295368
2016-04-20 15:00:00,62.6293048,1492237717,8.328,9400,000001.XSHE,1492237703,,SELL,平安银行,78.286631,2016-04-20 15:00:00,140.9159358
2016-05-31 15:00:00,62.0342352,1492237718,9.231,8400,000001.XSHE,1492237704,,BUY,平安银行,0.0,2016-05-31 15:00:00,62.0342352
2016-06-17 15:00:00,54.77472,1492237719,8.151,8400,000001.XSHE,1492237705,,SELL,平安银行,68.4684,2016-06-17 15:00:00,123.24312
2016-06-22 15:00:00,55.73232,1492237720,9.167,7600,000001.XSHE,1492237706,,BUY,平安银行,0.0,2016-06-22 15:00:00,55.73232
2016-06-24 15:00:00,49.50032,1492237721,8.142,7600,000001.XSHE,1492237707,,SELL,平安银行,61.8754,2016-06-24 15:00:00,111.37572
2016-06-29 15:00:00,48.90732,1492237722,9.124,6700,000001.XSHE,1492237708,,BUY,平安银行,0.0,2016-06-29 15:00:00,48.90732
2016-08-05 15:00:00,46.0311708,1492237723,8.588,6700,000001.XSHE,1492237709,,SELL,平安银行,57.5389635,2016-08-05 15:00:00,103.5701343
2016-08-12 15:00:00,45.486,1492237724,9.975,5700,000001.XSHE,1492237710,,BUY,平安银行,0.0,2016-08-12 15:00:00,45.486
2016-08-24 15:00:00,40.85076,1492237725,8.958,5700,000001.XSHE,1492237711,,SELL,平安银行,51.06345,2016-08-24 15:00:00,91.91421
2016-10-12 15:00:00,40.64676,1492237726,9.587,5300,000001.XSHE,1492237712,,BUY,平安银行,0.0,2016-10-12 15:00:00,40.64676
2016-11-09 15:00:00,36.53396,1492237727,8.617,5300,000001.XSHE,1492237713,,SELL,平安银行,45.66745,2016-11-09 15:00:00,82.20141
2016-11-10 15:00:00,36.08472,1492237728,9.597,4700,000001.XSHE,1492237714,,BUY,平安银行,0.0,2016-11-10 15:00:00,36.08472
2016-12-07 15:00:00,33.86256,1492237729,9.006,4700,000001.XSHE,1492237715,,SELL,平安银行,42.3282,2016-12-07 15:00:00,76.19076
2016-12-09 15:00:00,34.0452,1492237730,10.133,4200,000001.XSHE,1492237716,,BUY,平安银行,0.0,2016-12-09 15:00:00,34.0452
2016-12-12 15:00:00,30.324,1492237731,9.025,4200,000001.XSHE,1492237717,,SELL,平安银行,37.905,2016-12-12 15:00:00,68.229
