date,dividend_receivable,market_value,total_cash,total_value,transaction_cost
2013-01-04,0,45439.38,52250.482,97689.862,38.169
2013-01-07,0,45647.64,52250.482,97898.122,38.169
2013-01-08,0,45455.94,52250.482,97706.422,38.169
2013-01-09,0,45470.34,52250.482,97720.822,38.169
2013-01-10,0,45550.26,52250.482,97800.742,38.169
2013-01-11,0,44698.14,52250.482,96948.622,38.169
2013-01-14,0,46398.96,52250.482,98649.442,38.169
2013-01-15,0,46725.48,52250.482,98975.962,38.169
2013-01-16,0,46387.62,52250.482,98638.102,38.169
2013-01-17,0,45949.68,52250.482,98200.162,38.169
2013-01-18,0,46717.92,52250.482,98968.402,38.169
2013-01-21,0,46996.2,52250.482,99246.682,38.169
2013-01-22,0,46744.2,52250.482,98994.682,38.169
2013-01-23,0,46934.28,52250.482,99184.762,38.169
2013-01-24,0,46489.68,52250.482,98740.162,38.169
2013-01-25,0,46290.06,52250.482,98540.542,38.169
2013-01-28,0,47733.48,52250.482,99983.962,38.169
2013-01-29,0,48165.66,52250.482,100416.142,38.169
2013-01-30,0,48396.78,52250.482,100647.262,38.169
2013-01-31,0,48363.84,52250.482,100614.322,38.169
2013-02-01,0,49379.76,52250.482,101630.242,38.169
2013-02-04,0,49464.54,52250.482,101715.022,38.169
2013-02-05,0,49890.24,52250.482,102140.722,38.169
2013-02-06,0,49965.12,52250.482,102215.602,38.169
2013-02-07,0,49677.66,52250.482,101928.142,38.169
2013-02-08,0,49890.96,52250.482,102141.442,38.169
2013-02-18,0,49274.46,52250.482,101524.942,38.169
2013-02-19,0,48340.98,52250.482,100591.462,38.169
2013-02-20,0,48647.52,52250.482,100898.002,38.169
2013-02-21,0,46989.9,52250.482,99240.382,38.169
2013-02-22,0,46738.8,52250.482,98989.282,38.169
2013-02-25,0,46889.28,52250.482,99139.762,38.169
2013-02-26,0,46216.62,52250.482,98467.102,38.169
2013-02-27,0,46704.24,52250.482,98954.722,38.169
2013-02-28,0,48119.94,52250.482,100370.422,38.169
2013-03-01,0,48039.12,52250.482,100289.602,38.169
2013-03-04,0,0.0,95747.468,95747.468,0.0
2013-03-05,0,0.0,95747.468,95747.468,0.0
2013-03-06,0,0.0,95747.468,95747.468,0.0
2013-03-07,0,0.0,95747.468,95747.468,0.0
2013-03-08,0,0.0,95747.468,95747.468,0.0
2013-03-11,0,0.0,95747.468,95747.468,0.0
2013-03-12,0,0.0,95747.468,95747.468,0.0
2013-03-13,0,0.0,95747.468,95747.468,0.0
2013-03-14,0,0.0,95747.468,95747.468,0.0
2013-03-15,0,0.0,95747.468,95747.468,0.0
2013-03-18,0,0.0,95747.468,95747.468,0.0
2013-03-19,0,0.0,95747.468,95747.468,0.0
2013-03-20,0,0.0,95747.468,95747.468,0.0
2013-03-21,0,0.0,95747.468,95747.468,0.0
2013-03-22,0,0.0,95747.468,95747.468,0.0
2013-03-25,0,0.0,95747.468,95747.468,0.0
2013-03-26,0,0.0,95747.468,95747.468,0.0
2013-03-27,0,0.0,95747.468,95747.468,0.0
2013-03-28,0,0.0,95747.468,95747.468,0.0
2013-03-29,0,0.0,95747.468,95747.468,0.0
2013-04-01,0,0.0,95747.468,95747.468,0.0
2013-04-02,0,0.0,95747.468,95747.468,0.0
